,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
3371,3250,14,9858-B,3室1卫,20/26层,朝阳区,百子湾,金都杭城东区,地铁：距7号线百子湾站850米
3372,3210,13,115794-B,2室1卫,1/6层,海淀区,上地,毛纺厂北小区,地铁：距13号线上地站1450米
3373,2270,12,118316-A,4室1卫,11/15层,大兴区,高米店南,新里西斯莱公馆,地铁：距4号线大兴线高米店南站500米
3374,3420,25,118316-C,4室1卫,11/15层,大兴区,高米店南,新里西斯莱公馆,地铁：距4号线大兴线高米店南站500米
3375,2580,19,122384-C,3室1卫,1/6层,通州区,万盛东,阿尔法社区,地铁：距7号线万盛东站1300米
3376,2440,28,122765-C,4室1卫,4/21层,通州区,土桥,华远铭悦,地铁：距八通线土桥站950米
3377,3040,11,1033-B,3室1卫,28/28层,朝阳区,东风北桥,梵谷水郡,"地铁：距14号线东段,平谷线东风北桥站1800米"
3378,3860,18,123618-A,2室1卫,11/18层,朝阳区,枣营,枣营北里,地铁：距14号线东段枣营站250米
3379,2110,19,125954-A,3室1卫,5/6层,大兴区,清源路,富强东里,地铁：距4号线大兴线清源路站850米
3380,2170,14,125446-B,3室1卫,10/16层,昌平区,沙河,兆丰家园,地铁：距昌平线沙河站600米
3381,2070,10,128241-B,3室1卫,1/18层,大兴区,枣园,枣园尚城,地铁：距4号线大兴线枣园站450米
3382,2700,8,129679-D,4室1卫,9/25层,海淀区,西二旗,回龙观新村西区,"地铁：距13号线,昌平线西二旗站1050米"
3383,1850,10,137267-C,3室1卫,8/12层,通州区,梨园,新城阳光,地铁：距八通线梨园站450米
3384,5230,67,12139-A,2室1卫,17/29层,朝阳区,草房,首开畅心园,地铁：距6号线草房站500米
3385,2020,15,143049-B,3室1卫,2/6层,昌平区,沙河,于辛家园,地铁：距昌平线沙河站750米
3386,2670,15,136108-B,3室1卫,13/20层,海淀区,玉泉路,长安新城一区,地铁：距1号线玉泉路站2250米
3387,2990,20,12797-C,4室1卫,1/32层,昌平区,天通苑,天通苑西三区,地铁：距5号线天通苑站350米
3388,2220,19,150886-B,3室1卫,4/6层,通州区,梨园,玉桥南里,地铁：距八通线梨园站1350米
3389,3490,25,148848-B,2室1卫,9/10层,大兴区,高米店南,兴涛社区,地铁：距4号线大兴线高米店南站600米
3390,1440,10,152507-A,3室1卫,1/10层,房山区,良乡大学城西,紫汇家园,地铁：距房山线良乡大学城西站550米
3391,1860,12,158903-B,3室1卫,3/6层,通州区,梨园,葛布店东里,地铁：距八通线梨园站700米
3392,3100,13,14506-A,2室1卫,1/26层,丰台区,西铁营,亚林西居住区,地铁：距14号线东段西铁营站450米
3393,3080,9,14506-B,2室1卫,1/26层,丰台区,西铁营,亚林西居住区,地铁：距14号线东段西铁营站450米
3394,2270,10,1486-C,4室1卫,3/6层,昌平区,天通苑南,天通苑东一区,地铁：距5号线天通苑南站1650米
3395,3520,13,15278-B,3室1卫,1/28层,朝阳区,双井,首城国际,"地铁：距7号线,10号线双井站750米"
3396,3150,11,1562-B,3室1卫,23/28层,海淀区,西二旗,回龙观新村西区,"地铁：距13号线,昌平线西二旗站1050米"
3397,1700,8,16553-A,3室1卫,2/6层,顺义区,顺义,义宾北区,地铁：距15号线顺义站750米
3398,2530,15,18972-A,3室1卫,10/15层,朝阳区,北岗子,恒大江湾,"地铁：距12号线,平谷线北岗子站800米"
3399,2370,12,18972-B,3室1卫,10/15层,朝阳区,北岗子,恒大江湾,"地铁：距12号线,平谷线北岗子站800米"
